brand_name,brand_handle,brand_gid,metaobject_type,aliases,updated_at,fields_json
BuiltRight Industries,builtright,gid://shopify/Metaobject/228486742381,brand,,2025-07-21T15:32:55Z,"{""brand_name"": ""BuiltRight Industries"", ""description"": ""<p>BuiltRight Industries was established in 2017. They have become a leader in bed rack systems as well as various accessory mounts so that you can stow, organize, and bring everything you need for your next adventure.<p/>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_builtright_bc036712-9314-4bcd-87ac-59e67a6d4ec7.png?v=1752771705"", ""image_file"": ""gid://shopify/MediaImage/52039436173677"", ""collection"": ""gid://shopify/Collection/623882862957""}"
BulletProof Diesel,bulletproof,gid://shopify/Metaobject/228484874605,brand,,2026-02-11T22:29:20Z,"{""brand_name"": ""BulletProof Diesel"", ""description"": ""BulletProof Diesel is a company that started out trying to solve a problem, the 6.0L Ford Powerstroke's inherent issues with the EGR (Exhaust Gas Recirculator) Cooler. The first product by Bulletproof was the upgraded EGR cooler and soon to follow were the EGR deletes and upgraded oil cooler. The company has positioned itself as the premier manufacturer of \""6.0L fix-it parts.\"""", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_bulletproof.jpg?v=1748897620"", ""image_file"": ""gid://shopify/MediaImage/53059351314797"", ""collection"": ""gid://shopify/Collection/623877718381""}"
BulletProof Hitches,bulletproofhitches,gid://shopify/Metaobject/228483498349,brand,,2026-02-11T22:29:41Z,"{""brand_name"": ""BulletProof Hitches"", ""description"": ""<p>The BulletProof Hitch was truly designed to be the last hitch you will ever buy. The team at BulletProof Hitches is always looking towards the future and will continue to meet the demands of those who use their trucks as a tool for work and play. Every hitch and equally innovative accessory is built with an emphasis on quality and strength. From the CNC-chamfered edges, epoxy powder coat, and precisely drilled pin holes to the versatile, stout design allowing for multiple attachments at once, the BulletProof Hitch simply has it all!</p><p></p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_BulletProofHitches.jpg?v=1748897620"", ""image_file"": ""gid://shopify/MediaImage/53059351511405"", ""collection"": ""gid://shopify/Collection/623882109293""}"
Bully Dog,bullydog,gid://shopify/Metaobject/228481565037,brand,,2025-07-15T21:55:35Z,"{""brand_name"": ""Bully Dog"", ""description"": ""<br>Bully Dog Tuners\n\n<br><p>When looking to add power and fuel economy to any diesel truck, typically the first thing that comes to mind, or is recommended, is to install a diesel programmer or chip. Unbeknownst to many, adding horsepower can and WILL deliver additional MPG's, so you can basically have your cake and eat it too! But how? Simply put, unless you consistently drive aggressively, having the extra power will make the job of moving your 8,000+ pound truck easier, hence not having to work as hard. \n</p>\n<p>But now, which one is right for you? <a href=\""https://www.bullydog.com/\"" title=\""Bully Dog Official Website\"" target=\""_blank\"">Bully Dog Diesel</a> has been in the diesel performance tuning industry since 1998 producing various Bully Dog Tuners and have gained loads of notoriety for their various devices and tunes over the years. For anyone that's been affiliated whatsoever in the industry for some time will remember the days of the Power Pup and Crazy Larry tune files that delivered unparalleled ground pounding torque. But from those days, Bully Dog Performance Chips have come a long ways in terms of tuning and the devices which carry those tunes. With intuitive tuners and monitors such as the GTX and BDX devices to tune your truck that feature WiFi connectivity for easy updates to their GTX Watchdog for gauges and diagnostic troubleshooting, and everything in between, Bully Dog Performance has a solution for every need.</p>\n<p>And guess what, Bully Dog isn't merely limited to programmers. Seeing that the industry needed a lifetime serviceable DPF (Diesel Particulate Filter) that outflowed the factory units at a comparable price, Bully Dog went to work and released their line of Performance DPF's that allow you to have the added power you want, without all of the headaches. If Big Rigs are your thing, the Bully Dog Big Rig division is for you. With advanced tuning, turbo upgrades, manifolds, and more for Caterpillar, Detroit, and Cummins ISX, you'll gain the extra power your semi needs, plus the extra fuel economy that will deliver a nice dividend each month. Especially if you're an owner-operator that's looking to reduce expenses, the ROI on these upgrades is impressive, coupled with the fact you'll be passing the rest of the pack up those grades.</p>\n\n<b>Michael</b><br>\nThe increase of power is noticed, BIG TIME. Very simple installation. Worth every dollar you $pend. You won't be disappointed.<br><br>\n<b>Bryan</b><br>\nThe Bullydog GT really opened up the power in my 2014 Dodge Ram 2500 cummins<br><br>\n<b>NTBSOT</b><br>\nGreat product. Simple install. Noticeable power and performance. I like the defueling, comes in handy here in Texas when it's blasted hot out and your running the heck out of the truck.<br><br>\n<b>Brad</b><br>\nI keep the Bully Dog on my truck at all times. Never had a problem with it, and being able to change the mode with the touch of a button is awesome. Easy to install and use. Have recommended to several people.<br><br>\n<b>Aaron</b><br>\nEasy install. Customer service was great. Having had it long but can feel the difference when towing.<br><br>\n<b>Jennifer</b><br>\nBullydog gt tuner works great on my 08 dodge 2500 6.7l. The power levels are perfect for what I use it for. Towing heavy loads on the tow tune are much better. The truck rarely downshifts going up hills unlike before without the tuner it would run out of power. I recommend the bullydog gt diesel tuner to anyone the a diesel truck!<br>\n<br><iframe width=\""\"" height=\""\"" src=\""https://www.youtube.com/embed/ykuUlNvkGHQ\"" frameborder=\""0\"" allow=\""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture\"" allowfullscreen=\""\""></iframe>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_BullyDog.gif?v=1748897620"", ""image_file"": ""gid://shopify/MediaImage/51870249877869"", ""collection"": ""gid://shopify/Collection/623877882221""}"
Bully Dog Big Rig,bullydogbigrig,gid://shopify/Metaobject/228483531117,brand,,2026-02-11T22:30:00Z,"{""brand_name"": ""Bully Dog Big Rig"", ""description"": """", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_BullyDogBigRig.jpg?v=1748897620"", ""image_file"": ""gid://shopify/MediaImage/53059351740781"", ""collection"": ""gid://shopify/Collection/623876735341""}"
CJC Off-Road,cjc,gid://shopify/Metaobject/228486349165,brand,,2025-07-11T16:55:12Z,"{""brand_name"": ""CJC Off-Road"", ""description"": ""<p> CJC Off-Road is an industry leader when it comes to off-road parts and accessories. CJC Off Road was founded by off-road enthusiasts seeking to share their passion for the hobby with enthusiasts all over the world. They pride themselves in carrying high quality products and are always expanding their catalog.<p/>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CJC.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/51870251090285"", ""collection"": ""gid://shopify/Collection/623883223405""}"
CNC Fabrication,cncfab,gid://shopify/Metaobject/228482908525,brand,,2026-02-11T22:32:26Z,"{""brand_name"": ""CNC Fabrication"", ""description"": ""CNC Fabrication is one of the most trusted names in Powerstroke performance and sensible \""fix-it\"" parts to alleviate common problems that plague nearly any model year of Powerstroke engine. CNC Fab initially started off as a side business, and through word of mouth, has grown exponentially to allow the company to continue developing new, innovative products to keep your Ford engine running better, longer.&nbsp;"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CNCFab.jpg?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059353674093"", ""collection"": ""gid://shopify/Collection/623878209901""}"
CR2 Performance & Fabrication,cr2,gid://shopify/Metaobject/228489691501,brand,,2026-02-11T22:34:08Z,"{""brand_name"": ""CR2 Performance & Fabrication"", ""description"": ""Based out of North Idaho, founder Chris Rosscup has a long history of custom fabrication and competition with high-performance trucks. His time in drag racing and sled pulling has given him the experience to know what it takes to get the most out of a diesel pickup. Chris uses that experience to make sure whatever parts you get with CR2 are the ones that will not fail you when you need them the most. If you are looking for the right parts to get your truck beyond the norm, you can trust CR2 Performance &amp; Fabrication.<br>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CR2.jpg?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059354788205"", ""collection"": ""gid://shopify/Collection/623885123949""}"
CSF Radiators,csfradiators,gid://shopify/Metaobject/228483432813,brand,,2025-07-15T21:55:35Z,"{""brand_name"": ""CSF Radiators"", ""description"": ""Your radiator plays an obviously very important role in the long term health of your diesel engine. However, it goes forgotten when trying to cool temperatures. Unbeknownst to many, or possibly just forgotten, your radiator becomes clogged with debris over time, drastically reducing its effectiveness to keep your engine cool, especially in warmer climates. Replace your worn radiator with a big upgrade from the professionals at CSF Radiators. These guys have been in business for more than forty years and are a family owned business that you can trust."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CSFRadiators.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/51870250893677"", ""collection"": ""gid://shopify/Collection/623876997485""}"
Calibrated Power,calibratedpower,gid://shopify/Metaobject/228483662189,brand,,2025-07-21T15:32:28Z,"{""brand_name"": ""Calibrated Power"", ""description"": ""Calibrated Power, often referred to as Cummins Tuner, is at the pinnacle of the custom tuning business. From trucks, to agriculture equipment, and even some gas engine applications, this team knows how to massage and finesse an ECM to maximize the true potential of your power plant. Truly, whether your truck spends its time towing a fifth wheel and you are looking to maximize the fuel economy and gain some extra pulling power, they can deliver exactly what you're after. Or on the other end of the spectrum, if you've got a fire breathing, compound turbo, dual CP3 equipped dedicated race machine, they can ensure you get the most out of all of your ancillary equipment to get you to the end of the track before the competition. <br>\n<br>\nUtilizing such equipment as EFILive and the Smarty MM3, you can rest assured that their breadth of knowledge will deliver major results that the factory tuning simply cannot deliver. If you want the best, go with tuning from Calibrated Power."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CalibratedPower.png?v=1752771777"", ""image_file"": ""gid://shopify/MediaImage/52039438532973"", ""collection"": ""gid://shopify/Collection/623877521773""}"
Camburg Suspension,camburg,gid://shopify/Metaobject/228481237357,brand,,2026-02-11T22:31:35Z,"{""brand_name"": ""Camburg Suspension"", ""description"": ""Camburg Suspension builds some of the highest quality, proven suspension systems in the industry at a price point that is affordable to most. They are the leader in off-road suspension systems and is at the forefront in technology and design. Their over the counter parts are being race tested constantly and have won numerous championships, so if you are looking for the most proven long travel or performance suspension systems Camburg is your #1 choice. Not many other companies design, build and race on their own components. This sets Camburg apart from the rest as they are establishing the trend, not following it. So if you are building an off road machine and want the best parts available, look no further than Camburg."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_camburg.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059353084269"", ""collection"": ""gid://shopify/Collection/623877325165""}"
Carli Suspension,carli,gid://shopify/Metaobject/228487889261,brand,,2025-07-15T21:55:37Z,"{""brand_name"": ""Carli Suspension"", ""description"": ""<b>CARLI SUSPENSION KITS, SYSTEMS, AND COMPONENTS<br></b>\n<p>Yeah, we know Sage Carli can launch a full sized truck over nearly any obstacle. If you are into Baja racing, everyone knows by now that Carli Suspension is the name to go with. What you may not realize is that Carli has a suspension kit for your needs too. You probably don't care anything about having your expensive truck go air born, but you do want the best performance out of your suspension for your application. Carli Starter and Commuter 2.0 systems are designed to give you the best possible street manners compared to any other system on the market while providing ample room for the larger tires you want. Potholes disappear, you find yourself building speed on corners and washboard, and that's just when you are on the way to work. Now imagine heading out to feed the cows WITHOUT hitting your head on the headliner. Imagine coming back from your hunting trip WITHOUT needing a trip to the chiropractor. Take another look at Carli Suspension. It's not all about Baja. It's about YOUR truck and what you do with it. Stop by, we'll give you a ride and show you what you're missing. Just bring the checkbook and permission from the boss! One ride and you'll be hooked!</p>\n<b>CARLI KITS<br></b>\n<p>The entire engineering philosophy behind Carli aims to offer the real world Dodge Ram and Ford SuperDuty a suspension system that drastically increases the street drive of the vehicle while offering incredible off-road characteristics. So far, Sage Carli's suspension systems are the only option available where you don't have to compromise.</p>\n<p>Carli products are designed to meet the expectations of both the daily street driver and the most extreme avid off road enthusiast. From the urban streets to the most remote places, Carli products will far exceed all your expectations. The easiest way to put this into perspective is that Carli truly builds suspension systems for the enthusiast....the person who truly LOVES their truck and wants to upgrade it with the most thought out, tasteful upgrades on the market. No, this type of individual isn't going to head to Napa to pickup a new track bar. They're going to research the best possible track bar on the market and go that route. Carli Suspension is truly a brand for enthusiasts, featuring products that are built by enthusiasts. Just watch any of Carli Suspension's videos and you'll understand why they have such a passion for their products.</p>\n<p>Stock production trucks are built mainly to keep costs down. From a truck enthusiast's point of view these standards simply are not acceptable. From people looking to get a better ride with a more aggressive stance to people looking to get some serious off road performance, Carli understands the needs of these enthusiasts. This is epitomized by the ever growing list of satisfied customers. Carli Suspensions relentless pursuit of producing the best performing suspension systems is something that can be felt every time a customer drives their truck. Carli wouldnt have it any other way.</p>\n<b>CARLI COMPONENTS<br></b>\n<p>You know, its not always about a complete suspension. In fact, some of our best selling Carli products are things like a track bar, Carli ball joints, shocks, coil springs, and more. Maybe you've got a clunk in your front end that has been nailed down to being from a worn out track bar bushing and you did your research (mentioned above) and found out that the best track bar for your Ram or Ford is from Carli, so you buy that one. Or maybe you want a better ride, but only want to replace the coil springs for now. No problem. Sure, Carli is centered around their entire systems, but nearly all of their components can be used interchangeably on a stock height truck or one with an existing leveling or lift kit. We do our best to make note of any fitment requirements on each product page, but if you have any questions, please feel free to reach out and ask, we're happy to help.</p>\n<p>Here at Diesel Power Products we only want to sell the best and lets face it, the stock Ram and Ford suspension needs help. Your stock suspension system is designed to be adequate and nothing more. Carli not only makes the ride of your truck better, it makes it safer. Whether you are towing a trailer on the interstate or doing a little off-road adventure, we will attest that you'll be more than satisfied by upgrading to Carli.</p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_carli.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/51870250762605"", ""collection"": ""gid://shopify/Collection/623880175981""}"
Cataclean,cataclean,gid://shopify/Metaobject/228488380781,brand,,2026-02-11T22:32:05Z,"{""brand_name"": ""Cataclean"", ""description"": ""The Original Carbon Build-Up Treatment<br>Cataclean is the ultimate solution for tackling carbon build-up in your vehicle’s engine and exhaust system. This innovative treatment flows through your fuel system, cleaning injectors, cylinder heads, intake valves, and oxygen sensors, before combusting into vapors that clear catalytic converters and diesel particulate filters (DPFs). The result? Restored engine performance, improved fuel economy, and reduced emissions—up to 60%.<br>Cataclean's formula includes acetone, a compound used in race cars to enhance combustion efficiency and octane ratings, ensuring cleaner and more complete fuel burn. It’s compatible with petrol, diesel, and hybrid engines, making it suitable for a wide range of vehicles, from cars and vans to motorcycles and garden equipment. Trusted by professionals worldwide, and backed by over 6,000 glowing reviews, Cataclean is a simple \""pour and go\"" solution that should be used every three months for optimal performance. Manufactured to strict EU environmental standards, it’s safe, effective, and essential for protecting your engine and the planet.<br>Cataclean: A global leader in fuel and exhaust cleaning, delivering cleaner engines and greener roads."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_cataclean.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059353248109"", ""collection"": ""gid://shopify/Collection/623885418861""}"
Centerforce Performance Clutch,centerforce-performance-clutch,gid://shopify/Metaobject/262715638125,brand,,2025-11-21T00:15:11Z,"{""brand_name"": ""Centerforce Performance Clutch"", ""description"": ""Centerforce Performance Clutch – Diesel Truck Dominance\n\nBuilt on a legacy of American innovation, Centerforce Performance Clutch is engineered in Prescott, Arizona, with relentless passion and precision. Focused now on powering diesel trucks, Centerforce delivers clutch systems that conquer the demands of modern Cummins equipped Rams and heavy-duty workhorses.\n\nThe legendary Diesel Twin twin-disc clutch is designed for Dodge Cummins 2500‑5500 trucks, boasting up to 1,700 ft‑lb torque capacity, while maintaining a smooth, quiet engagement and surprisingly light pedal feel. Whether you're towing big loads or pushing boundary-breaking power upgrades, the Diesel Twin delivers performance without sacrificing daily drivability. Diesel World magazine confirms it “felt no different than a stock clutch” yet dramatically improved holding power and reliability. Beyond high torque capacity, Centerforce uses patented centrifugal weight technology to optimize clamp load as RPMs climb, ensuring strong holding power without excessive pedal effort. Each kit arrives ready to install, balanced components, included hardware, hydraulic release system, and ARP fasteners make for a hassle-free upgrade. For moderate builds and daily drivers, the Centerforce II and Dual Friction kits offer excellent alternatives. The II delivers a smooth full-faced disc and engineered response, while the Dual Friction combines organic and segmented wear surfaces for optimal torque capacity and longevity.\n\nCenterforce remains a family-owned, U.S.-made engine performance pioneer with 3rd-generation roots and innovation honored by nine patents and industry accolades. Whether you’re towing heavy, hauling all day, or dialing in big power, their diesel-focused clutch systems provide unmatched control, peace of mind, and muscle.\n\nShop Centerforce Performance Clutch at DPP, when Diesel Power meets American Precision."", ""image"": """", ""image_file"": ""gid://shopify/MediaImage/52581822562669"", ""collection"": ""gid://shopify/Collection/630078275949""}"
Clutch Masters,clutchmasters,gid://shopify/Metaobject/228487692653,brand,,2025-07-15T21:55:37Z,"{""brand_name"": ""Clutch Masters"", ""description"": ""Driving should be an experience, not just a chore. The feeling that the perfect shift resonates in us followed by that pull into the seat just cant be matched. Ram, being the last stand out of the big three featuring manual transmissions in their diesels, started experiencing reliability issues with their dual mass flywheels that were paired with the G56s. That isnt an indicator that its time for an automatic, power numbers have grown immensely, and technology needed to catch up. <br>Clutch Masters, out of Rialto, California puts in the hard work of research and development to offer high performance clutches specifically to meet the needs of the modern ages continuously growing power levels. With their clutch foot planted in motorsports, they offer a variety of performance clutches supporting huge power builds, while maintaining drivability. Already well known for their 1200 Series twin disc systems for the G56, Clutch Masters also offer a variety of street ready replacements for all your manual equipped Rams. Thanks to their dedication to the ease of drivability, you dont have to be a power lifter to be able to drive to the grocery store with a clutch from the Clutch Masters. <br><br>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_ClutchMasters.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/51870251024749"", ""collection"": ""gid://shopify/Collection/623877554541""}"
Cognito Motorsports Suspension,cognito,gid://shopify/Metaobject/228489331053,brand,,2025-07-21T15:32:04Z,"{""brand_name"": ""Cognito Motorsports Suspension"", ""description"": ""In the aftermarket suspension industry, Cognito is a household name, and for good reason. Originally started in 2001 literally out of a converted chicken coup, Cognito has grown exponentially, now one of the first names that roll off the tongues of industry professionals when asked what the best suspension is. While many know Cognito specifically for their high end upgrades and systems for Duramax powered Chevy HD's, they also build some of the best suspension component systems for Powerstroke, Duramax, and even Side-By-Sides. So whether you're looking to merely beef up your steering or suspension without any additional lift (i.e. heavy duty tie rods) or you want a lift kit that will deliver a substantially better ride and offroad performance than your stock truck can handle, you need look no further than Cognito.\n<br>\n<strong>INGENUITY | QUALITY | PERFORMANCE</strong>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_Cognito.png?v=1752771798"", ""image_file"": ""gid://shopify/MediaImage/52039439483245"", ""collection"": ""gid://shopify/Collection/623878668653""}"
ComeUp Winch,comeupwinch,gid://shopify/Metaobject/228488905069,brand,,2026-02-11T22:33:27Z,"{""brand_name"": ""ComeUp Winch"", ""description"": ""Are you after a hardcore, well built, high quality winch without the big name price?ComeUp Winch delivers on all fronts with a winch to suit any need.Maybe you're in need of a fully sealed, compact, yet heavy duty winch to mount behind your bumper.Or maybe you want one to mount on your four wheeler for running a plow.Or possibly you just want something to mount in the ceiling of your shop to act as a hoist.On all fronts, ComeUp has you covered.<br>\n<br>\nThe ComeUp brand is rated as one of the highest quality winches in the world.ComeUp has exclusively manufactured nothing but winches for over 37 years.&nbsp;As a behind the scenes private label manufacturer for the U.S. market for many years, ComeUp has chosen to go direct with its own brand name to bring its value added high quality winches to the U.S. market at a lower price. Though the ComeUp brand is not yet known in the U.S. ComeUp is highly regarded, very popular and widely used in the rest of the world. ComeUp Winch's reputation for quality, durability and innovative engineering won it the selection for use by Arctic Truck in Polar expeditions to both the South and the North Poles. The expedition to the North Pole was captured on film by the popular international television program œTop Gear.<br>\n<br>\nThis honor has given ComeUp winches the distinction of being the only winch to take a driven vehicle to both the North and South Poles, traversing the most hostile and rugged terrains on the face of the Earth.<br>\n<br>\nSome of what makes the ComeUp winch superior are engineering and design solutions for todays actual applications. With the increasing use of synthetic rope on winches today the current designs of all the competitions winches have the brake inside the drum spool.With an internal brake the synthetic rope acts as an insulator and keeps the heat from the brake inside the drum causing brake fade, slipping and failure.The ComeUp winch has what is called a œCBS (cone brake system) which is outside the drum where it can dissipate the heat and stay firmly engaged.The CBS system is also an adjustable true friction brake and provides the most brake surface area of any winch on the market. Many of the inexpensive units on the market do not even have a friction brake but use a coil spring in a bind up arrangement that is very prone to failure.<br>\n<br>\nComeUp USA offers a full range of winches from 1,500 lbs. utility, ATV and UTV, all the way up to 18,000 lbs. 12V/24V electric and hydraulic self-recovery and industrial winches, with everything in between."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_ComeupWinch.jpg?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059354493293"", ""collection"": ""gid://shopify/Collection/623877947757""}"
Cometic Gaskets,cometic,gid://shopify/Metaobject/228482941293,brand,,2026-02-11T22:33:12Z,"{""brand_name"": ""Cometic Gaskets"", ""description"": ""<p>Cometic is a leading supplier of gaskets and engine sealing solutions. No matter what diesel truck you drive, Cometic has a gasket kit for you. Since 1989, Cometic has been living, eating, and breathing powersports. They are proud supporters of GNCC&lt; AMA, NASCAR, and other race teams across the country. To ensure superior performance across a wide variety of engine types and sizes, Cometic manufactures gaskets from a comprehensive range of materials. Whether the situation calls for the latest in advanced technology like the MLS (Multi-Layer Steel) Gasket, or a synthetic blend such as Aramid Fiber, Cometic finds a solution. Cometic stays on the forefront of gasket design technology by utilizing in-house dynamometers and engine assembly rooms to bring its distributors, retailers and ultimately the end-user, the most reliable gaskets available today.</p><p></p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_cometic.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059354362221"", ""collection"": ""gid://shopify/Collection/623884009837""}"
Complete Performance,completeperformance,gid://shopify/Metaobject/228484645229,brand,,2026-02-11T22:33:53Z,"{""brand_name"": ""Complete Performance"", ""description"": ""As the self-proclaimed OBS (Old Body Style) Ford Experts, the brothers that own Complete Performance, Paul and Chris Rutledge, have some big boots to fill. Fortunately, their entire team has the knowledge, experience, and reputation to back it up. Located in Jasper, Texas, they have turned from a small diesel repair and performance center to a widely recognized organization that is continually bringing to market new products and building vehicles you will find center stage at SEMA and gracing the pictures of performance magazines. Whether you drive an OBS Powerstroke or not, you can count on Complete Performance for upgrades that will deliver."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CompletePerformance.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059354755437"", ""collection"": ""gid://shopify/Collection/623881453933""}"
Crown Brake Lines,crown-performance-products,gid://shopify/Metaobject/228482646381,brand,,2026-02-11T22:34:26Z,"{""brand_name"": ""Crown Brake Lines"", ""description"": ""Crown Performance lines are considered one of the best in the industry. They reinforce their brake lines with Kevlar to make them nearly indestructible. The stainless steel will never puncture the Teflon lines through the Kevlar.  Crown Performance manufactures brake lines and offers various types of hoses and fittings. These products may be used to plumb power steering, transmission, coolant, oil, and AC lines. We also carry Hydraulic adapters from American thread to Metric."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_crown.jpg?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059354952045"", ""collection"": ""gid://shopify/Collection/623877063021""}"
Cummins,cummins,gid://shopify/Metaobject/228482580845,brand,,2026-02-11T22:34:47Z,"{""brand_name"": ""Cummins"", ""description"": ""While we are obvious supporters of the aftermarket, there are times when it does make the most sense to stick with factory Cummins components for various upgrades or repairs. While we do not carry every component, we do stock items that we feel are a good choice when making the decision to go stock or aftermarket.<br>\nIf you don't see what you're after, feel free to give us a call or send an e-mail to <a href=\""mailto:cs@dieselpowerproducts.com\"">cs@dieselpowerproducts.com</a> and we would be happy to assist."", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_cummins.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059354984813"", ""collection"": ""gid://shopify/Collection/625732780397""}"
Custom Battery Cables,custombatterycables,gid://shopify/Metaobject/228481892717,brand,,2025-07-11T16:55:08Z,"{""brand_name"": ""Custom Battery Cables"", ""description"": ""<p>At Custom Battery Cables, our goal is to be successful by honestly and fairly solving the customers problem whether its fixing a hard starting problem for a snow plow or providing good looking cables for a show car. So, if you are ready to spend a little more to get the very best for your car or truck youve come to the right place. Please take the time to see how our cables are different than store bought battery cables</p><p></p>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CustomBatteryCables.png?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/51870250828141"", ""collection"": ""gid://shopify/Collection/623882731885""}"
Customs Unlimited,customsunlimited,gid://shopify/Metaobject/228485497197,brand,,2026-02-11T22:35:13Z,"{""brand_name"": ""Customs Unlimited"", ""description"": ""Based in Michigan, this automotive lighting specialist company is USA MADE with many of its products. Using high-quality LED lights for trucks, trailers, and other vehicles they are a perfect start to building your dream vehicle. Choose Customs Unlimited for your LED Factory Upgrades, Illuminated Badges and Emblems, Starlight Headliner Kits, Rocker and Valance Light Kits, Wheel Light Kits, Rock Lights, Grille Accents, Trailer Lighting, and more!<br>"", ""image"": ""https://cdn.shopify.com/s/files/1/0892/2487/2301/files/brandlogo_CustomsUnlimited.jpg?v=1748897648"", ""image_file"": ""gid://shopify/MediaImage/53059355050349"", ""collection"": ""gid://shopify/Collection/623885386093""}"
