vendor,display_name,sample_sku,official_website_url,official_website_status,official_website_source,official_website_confidence,search_url_template,search_template_status,search_result_mode,resolver_hint,review_status,review_notes,last_checked_utc
B&M Shifters,B&M Shifters,BM-45199,https://www.bmracing.com/,probable,brand_domain_redirect_to_holley_brand_page,high,https://www.holley.com/search/?q={sku},confirmed,search_results,inferred_parent_brand_holley_search,pending,Inferred from live browser redirect: bmracing.com resolves onto a Holley-hosted brand page. Using Holley search route https://www.holley.com/search/?q={sku}.,
BD-Power,BD-Power,BD-1027144,https://us.bddiesel.com/,confirmed,direct_homepage_validation,high,https://us.bddiesel.com/collections/shop?q={sku},confirmed,search_results,playwright_search_submit,pending,,
BDS Suspension,BDS Suspension,BDS-189H,https://bds-suspension.com/,confirmed,direct_homepage_validation,high,https://bds-suspension.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
BMC Lights,BMC Lights,BMC-RAM-250-HB-RGD-STD,https://bmclights.com/,probable,search_discovery:ddg,high,https://bmclights.com/shop-for-bmc-kits/ols/search?keywords={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://bmclights.com/shop-for-bmc-kits/ols/search?keywords={sku}.,
Baer Brake Systems,Baer Brake Systems,BAER-2141023-2,https://www.baer.com/,probable,search_discovery:ddg,high,https://www.baer.com/search/?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Baja Designs Offroad LED Lights,Baja Designs Offroad LED Lights,BD-107004,https://www.bajadesigns.com/,confirmed,direct_homepage_validation,medium,https://www.bajadesigns.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Baldwin Filters,Baldwin Filters,PF7977,https://www.baldwinfilters.com/us/en.html,probable,search_discovery:ddg,high,,unresolved,,,pending,search-template fetch error: HTTP Error 403: Forbidden,
Banks Power,Banks Power,BAN-25987,https://bankspower.com/,confirmed,direct_homepage_validation,medium,https://bankspower.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Beans Diesel | Bean Machine,Beans Diesel | Bean Machine,BDP-280003,https://bdpshop.com/,probable,search_discovery:ddg,low,https://bdpshop.com/search.php?search_query={sku},confirmed,search_results,playwright_search_submit,pending,,
Big Days,Big Days,BND-R1000,https://big-days.com/collections/accessories,probable,search_discovery:ddg,high,https://big-days.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Bilstein Shock Absorbers,Bilstein Shock Absorbers,BIL-24-158848,https://cart.bilsteinus.com/,probable,search_discovery:ddg,medium,https://cart.bilsteinus.com/catalogue?typeofsearch=1&search_query_adv={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: No visible search input found,
Bitterroot Diesel Performance,Bitterroot Diesel Performance,BDP-ZF6BOOTAMACH,https://bitterrootdiesel.com/,probable,search_discovery:ddg,high,https://bitterrootdiesel.com/search?q={sku}&type=product,confirmed,search_results,playwright_search_submit,pending,,
Black Mamba Gloves,Black Mamba Gloves,BMG-OMG-110,https://www.blackmambagloves.com/,confirmed,direct_homepage_validation,high,https://www.blackmambagloves.com/?s={sku},confirmed,search_results,manual_wordpress_search_validation,pending,Search route validated; sample SKU returned a no-results page.,
Black Rhino Wheels,Black Rhino Wheels,BRW-1795ARY-88170G25,https://www.blackrhinowheels.com/,confirmed,direct_homepage_validation,high,https://www.blackrhinowheels.com/catalogsearch/result/?q={sku},confirmed,search_results,manual_magento_form_validation,pending,,
Blend Door USA,Blend Door USA,BDUSA-5DR,https://www.blenddoorusa.com/,confirmed,direct_homepage_validation,high,https://www.blenddoorusa.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
BorgWarner,BorgWarner,BW-179425,https://www.borgwarner.com/home,confirmed,direct_homepage_validation,high,https://www.borgwarner.com/search?indexCatalogue=default&searchQuery={sku}&wordsMode=0,confirmed,search_results,playwright_search_submit,pending,,
Borgeson,Borgeson,BG-800123,https://www.borgeson.com/,probable,search_discovery:ddg,high,https://www.borgeson.com/?target=search&mode=search&substring={sku}&including=all,confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: Search returned no results,
Borne Off-Road,Borne Off-Road,BOR-BNSB-8,https://rogue-offroad.com/Borne-Off-Road_bymfg_275-0-1.html,probable,search_discovery:ddg,high,https://www.borne.com/catalogsearch/result/?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: Bot challenge page,
Bosch,Bosch,BOS-HP004X,https://www.bosch.us/,probable,search_discovery:ddg,high,https://www.bosch.us/search.html?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: No visible search input found,
Bubba Rope,Bubba Rope,BR-176000OR,https://www.bubbarope.com/,probable,search_discovery:ddg,high,https://www.bubbarope.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
BuiltRight Industries,BuiltRight Industries,BRI-104012,https://builtrightind.com/,probable,search_discovery:ddg,high,https://builtrightind.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
BulletProof Diesel,BulletProof Diesel,BPD-6700001,https://bulletproofdiesel.com/,probable,search_discovery:ddg,high,https://bulletproofdiesel.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
BulletProof Hitches,BulletProof Hitches,BPH-MD204,https://www.bulletproofhitches.com/,probable,search_discovery:ddg,high,https://www.bulletproofhitches.com/search?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: Unable to populate search input,
Bully Dog,Bully Dog,BUL-30490,https://bullydog.com/,probable,search_discovery:ddg,high,https://bullydog.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Bully Dog Big Rig,Bully Dog Big Rig,Bul-56700,https://bullydogbigrig.com/products.php,probable,search_discovery:ddg,high,https://bullydog.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
CJC Off-Road,CJC Off-Road,CJC-3500-PLOW,https://www.cjcoffroad.com/,probable,search_discovery:ddg,high,https://www.cjcoffroad.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
CNC Fabrication,CNC Fabrication,CNC-424005,https://cncfabrication.com/,probable,search_discovery:ddg,high,https://cncfabrication.com/?s={sku},confirmed,search_results,playwright_search_submit,pending,,
CR2 Performance & Fabrication,CR2 Performance & Fabrication,CR2-10100,https://cr2fabrication.com/pages/contact,probable,search_discovery:ddg,medium,https://cr2fabrication.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
CSF Radiators,CSF Radiators,CSF-6076,https://csfradiators.com/,probable,search_discovery:ddg,high,https://csfradiators.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Calibrated Power,Calibrated Power,CP-03046LPS,https://duramaxtuner.com/,probable,search_discovery:ddg,high,https://duramaxtuner.com/search.html?Search={sku},probed,search_results,common_template_probe,pending,,
Camburg Suspension,Camburg Suspension,CAM-030061,https://www.suspensionlifts.com/brand/camburg/,probable,search_discovery:ddg,high,https://www.suspensionlifts.com/?post_type=product&s={sku}&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,confirmed,search_results,manual_user_seed,pending,.com tld; 1 vendor token hit(s); vendor key present in result text; deep path candidate,
Carli Suspension,Carli Suspension,CS-FLC-05,https://www.carlisuspension.com/,confirmed,direct_homepage_validation,high,https://www.carlisuspension.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Cataclean,Cataclean,CAC-120007,https://cataclean.com/,probable,search_discovery:ddg,high,https://cataclean.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Centerforce Performance Clutch,Centerforce Performance Clutch,CFC-N1774,https://www.centerforce.com/,probable,search_discovery:ddg,high,https://www.centerforce.com/search.html?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: Search results page,
Clampco,Clampco,DPP-94158-0300,https://www.clampco.com/about/,probable,search_discovery:ddg,high,https://clampco.com/?s={sku},probed,search_results,common_template_probe,pending,,
Clutch Masters,Clutch Masters,CM-05CM2-TD12R-S,https://clutchmasters.com/,probable,search_discovery:ddg,high,https://clutchmasters.com/search.html?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: Search returned no results,
Cognito Motorsports Suspension,Cognito Motorsports Suspension,CM-110-90715,https://cognitomotorsports.com/,probable,search_discovery:ddg,high,https://cognitomotorsports.com/catalogsearch/result/?q={sku},confirmed,search_results,playwright_search_submit,pending,,
ComeUp Winch,ComeUp Winch,CU-295620,https://www.comeupwinch.com/,probable,search_discovery:ddg,high,https://comeupwinch.com/search.php?search_query={sku},probed,search_results,common_template_probe,pending,,
Cometic Gaskets,Cometic Gaskets,COM-C4514,https://www.cometic.com/,confirmed,direct_homepage_validation,high,https://cometic.com/products/search?q={sku},probed,search_results,common_template_probe_with_playwright,pending,,
Complete Performance,Complete Performance,CP-310,https://cpaddict.com/,probable,search_discovery:ddg,high,https://cpaddict.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Crown Brake Lines,Crown Brake Lines,CROWN-GM77FR-00-CLE,https://crownperformance.com/,confirmed,direct_homepage_validation,high,https://crownperformance.com/search.php?search_query={sku},probed,search_results,common_template_probe,pending,,
Cummins Diesel Parts,Cummins Diesel Parts,DPP-12VB,https://parts.cummins.com/esn-entry/main,probable,search_discovery:ddg,high,https://parts.cummins.com/global-search/main/{sku},confirmed,search_results,playwright_search_submit,pending,,
Custom Battery Cables,Custom Battery Cables,CBC-781,https://custombatterycables.com/,probable,search_discovery:ddg,high,https://custombatterycables.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Customs Unlimited,Customs Unlimited,CU-284-N-A13,https://customsunlimited.com/pages/about-us,probable,search_discovery:ddg,high,https://customsunlimited.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
D&J Precision Machine,D&J Precision Machine,DJ-DJPLB100076,https://djprecisionmachine.com/,probable,search_result_official_domain_match,high,https://djprecisionmachine.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Dana / Spicer,Dana / Spicer,SPICER-SPL55-3X,https://www.dana.com/,probable,search_discovery:ddg,medium,https://www.dana.com/search/?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Dayco,Dayco,DC-71716,https://www.dayco.com/,probable,search_discovery:ddg,high,https://www.dayco.com/na-en/?s={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: search-template fetch error: HTTP Error 403: Forbidden,
Daystar,Daystar,DAY-KU31001,https://daystarproducts.com/pages/dealer-locator,probable,search_discovery:ddg,high,https://daystarproducts.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
"Deaver Spring, Inc.","Deaver Spring, Inc.",DS-G7,https://deaverspring.com/,probable,search_discovery:ddg,high,https://deaverspring.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Dethloff,Dethloff Mfg,DL-IG-19,https://dethloffmfg.com/,probable,search_discovery:ddg,high,https://dethloffmfg.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
DiabloSport,DiabloSport,DS-8145,https://diablosportco.com/,probable,search_discovery:ddg,high,https://diablosportco.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Diamond Eye Performance,Diamond Eye Performance,DE-L20AA,https://www.diamondeyeperformance.com/,confirmed,direct_homepage_validation,high,https://www.diamondeyeperformance.com/?s={sku},confirmed,search_results,playwright_search_submit,pending,,
Diesel Power Products,Diesel Power Products,DPP-506,https://www.dieselpowerproducts.com/pages/contact,probable,search_discovery:ddg,high,https://dieselpowerproducts.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Diesel Rx,Diesel Rx,DRX01005,https://dieselrx.com/,probable,search_discovery:ddg,high,https://dieselrx.com/search?q={sku},probed,search_results,common_template_probe,pending,,
DieselSite,DieselSite,DS-4WD,https://www.dieselsite.com/,probable,search_discovery:ddg,high,https://www.dieselsite.com/search.aspx?find={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: No visible search input found,
Diode Dynamics,Diode Dynamics,DD-DD7120,https://www.diodedynamics.com/,probable,search_discovery:ddg,high,https://www.diodedynamics.com/catalogsearch/result/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Dipaco DTech Diesel Parts,Dipaco DTech Diesel Parts,DT-650017,https://usdieselparts.com/,probable,search_discovery:ddg,medium,https://usdieselparts.com/search/?query={sku},confirmed,search_results,playwright_search_submit,pending,,
Dirt Church Industries,Dirt Church Industries,ARB-CKMTA12,https://dirtchurchindustries.com/,probable,search_discovery:ddg,high,https://dirtchurchindustries.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Dorman,Dorman,DOR-600-202,https://www.dormanproducts.com/,probable,search_discovery:ddg,high,https://www.dormanproducts.com/gsearch.aspx?type=oesearch&origin=oesearch&q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search URL from site search UI. Existing note: No visible search input found,
Driven Diesel,Driven Diesel,DD-73L-OBA,http://www.drivendiesel.com/,probable,search_discovery:ddg,high,https://www.strictlydiesel.com/isearch3?searchterm={sku},confirmed,search_results,manual_user_seed,pending,Vendor uses Strictly Diesel commerce search; cross-domain search route confirmed manually. Existing note: No visible search input found,
Dually Design Co.,Dually Design Co.,DDC-F14K40,https://ddcwheels.com/brand/dually-design-co/,probable,search_discovery:ddg,high,https://ddcwheels.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
DuramaxTuner.com,DuramaxTuner.com,DT-CPS200340,https://duramaxtuner.com/,probable,search_discovery:ddg,high,https://duramaxtuner.com/search.html?q={sku},probed,search_results,common_template_probe,pending,,
Dynatrac,Dynatrac,DYN-BJK-D60A,https://www.dynatrac.com/pages/about-us,probable,search_discovery:ddg,high,https://www.dynatrac.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Dynomite Diesel,Dynomite Diesel,DDP-67CON,https://dynomitediesel.com/,probable,search_discovery:ddg,high,https://dynomitediesel.com/search?type=product&q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
EBC Brakes,EBC Brakes,EBC-GD7509,https://www.ebcbrakes.com/,probable,search_discovery:ddg,high,https://www.ebcbrakes.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
EMF Ball Joints,EMF Ball Joints,EMF-DSB-3999-PAIR,https://emfballjoints.com/collections,probable,search_discovery:ddg,high,https://emfballjoints.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
EMP Shield,EMP Shield,EMP-DC-12V-W,https://www.empshield.com/,probable,search_discovery:ddg,high,https://www.empshield.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Empire Performance Engineering,Empire Performance Engineering,,https://empireperformance.com.au/,probable,search_discovery:ddg,high,https://empireperformance.com.au/search?type=product&q={sku},confirmed,search_results,playwright_search_submit,pending,Captured by live browser submit on vendor site using generic probe query. Search UI resolved to https://empireperformance.com.au/search?type=product&q={sku}.,
EZ LYNK,EZ LYNK,EZ-100EE00AA3,https://www.ezlynk.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
Eastern Industries,Eastern Industries,EI-18-1575,http://eastern-industries.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
Edge Products,Edge Products,EDG-28405,https://www.edgeproducts.com/,probable,search_discovery:ddg,high,https://www.edgeproducts.com/search/?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: search-template fetch error: HTTP Error 403: Forbidden,
Expedition One,Expedition One,EXP1-FORDSD-17-FB-PC,https://www.expeditiononestore.com/,probable,search_discovery:ddg,high,https://www.expeditiononestore.com/search.asp?keyword={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://www.expeditiononestore.com/search.asp?keyword={sku}.,
Extend,Extend,Extend-Protection-Plan-0.09,https://www.extend.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
FASS EGR Solutions,FASS EGR Solutions,FASS-EGRC17,https://fassegrsolutions.com/,probable,search_discovery:ddg,high,,unresolved,,,pending,No visible search input found,
FASS Fuel Systems,FASS Fuel Systems,DDP-RK-04,https://www.fassride.com/,confirmed,direct_homepage_validation,medium,https://shop.fassride.com/Products/Search?search={sku},confirmed,search_results,manual_json_api_id_detail,pending,"Validated against the live Midway widget. The popup search uses input#search-field inside .midway-search-input-container and calls GET https://shop.fassride.com/Products/Search?search={sku}. Use the JSON products[] hit, score by partNumber, then build https://www.fassride.com/details?id={id}. The raw search endpoint alone is not sufficient for prefixed alias SKUs because it can return fuzzy matches.",
FOX Shocks,FOX Shocks,FOX-98502127,https://ridefox.com/,confirmed,direct_homepage_validation,high,https://ridefox.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Factor 55,Factor 55,FF-00013,https://www.factor55.com/,confirmed,direct_homepage_validation,high,https://www.factor55.com/search?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Factory Aftermarket,Factory Aftermarket,FA-FSD-CS-2022,https://factoryaftermarket.com/collections/all,probable,search_discovery:ddg,high,https://factoryaftermarket.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fairchild Industries,Fairchild Industries,FI-F3019,https://fairchildindustries.com/,probable,search_discovery:ddg,high,https://fairchildindustries.com/search/{sku}/,detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fast Coolers,Fast Coolers,FC-2FCVR,https://www.fastcoolers.com/,probable,search_discovery:ddg,high,https://www.fastcoolers.com/search?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fender Gripper,Fender Gripper,FND-FG2001,https://www.holley.com/brands/fender_gripper/,probable,search_discovery:ddg,high,https://www.holley.com/search/?q={sku},confirmed,search_results,manual_parent_brand_holley_search,pending,Fender Gripper uses Holley search. Confirmed manual search route: https://www.holley.com/search/?q={sku}.,
Fleece Performance Engineering,Fleece Performance Engineering,FPE-CP3X2,https://www.fleeceperformance.com/,confirmed,direct_homepage_validation,high,https://www.fleeceperformance.com/catalogsearch/result/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fleetguard Filters,Fleetguard Filters,FG-LF9028,https://fleet-reliable-filters.com/catalogs,probable,search_discovery:ddg,high,https://fleet-reliable-filters.com/catalogsearch/result/index/?q={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Flex-A-Lite,Flex-A-Lite,FAL-103961,https://flex-a-lite.com/,probable,search_discovery:ddg,high,https://flex-a-lite.com/catalogsearch/result/?q={sku},confirmed,search_results,playwright_search_submit,pending,,
Flowmaster,Flowmaster,FM-1078,https://the-flowmaster.com/,probable,search_discovery:ddg,high,https://the-flowmaster.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fluidampr,Fluidampr,FD-720211,https://fluidampr.com/,probable,search_discovery:ddg,high,https://fluidampr.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Flyin Diesel,Flyin Diesel,FD-5967-BLACK,https://flyindiesel.com/,probable,search_discovery:ddg,high,https://flyindiesel.com/search.html?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://flyindiesel.com/search.html?q={sku}.,
Ford Motor Company,Ford Motor Company,FA-1757,https://corporate.ford.com/about/brands/,probable,search_discovery:ddg,high,https://www.ford.com/search/?f%3AsearchInputString={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://www.ford.com/search/?f%3AsearchInputString={sku}.,
Frantz Oil Filters,Frantz Oil Filters,FOF-FKPWR60,https://www.frantzfilters.com/,probable,search_discovery:ddg,high,https://www.frantzfilters.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fuel Bomb,Fuel Bomb,FB-002,https://fuelbomb.com/,probable,search_discovery:ddg,high,https://fuelbomb.com/?s={sku},detected,search_results,jsonld_searchaction_or_html_form,pending,,
Fuelab,Fuelab,FL-50102,https://fuelab.com/,probable,search_discovery:ddg,high,https://fuelab.com/search.html?q={sku},confirmed,search_results,manual_user_seed,pending,Confirmed manual search route: https://fuelab.com/search.html?q={sku}.,
Full Force Diesel,Full Force Diesel,FFD-FFD143,https://www.fullforcediesel.com/about-us/,probable,search_discovery:ddg,high,https://www.fullforcediesel.com/search?show_in_vexture=Yes&Search={sku},confirmed,search_results,manual_user_seed,pending,Confirmed by manual site search flow: search 123 on site and record resulting URL. Existing note: Bot challenge page,
